slug,startDate,endDate,p_up,p_down
btc-updown-5m-1777828200,2026-05-02T17:19:08.265719Z,2026-05-03T17:15:00Z,1,0
btc-updown-5m-1777828500,2026-05-02T17:23:33.185936Z,2026-05-03T17:20:00Z,1,0
btc-updown-5m-1777828800,2026-05-02T17:29:05.017274Z,2026-05-03T17:25:00Z,1,0
btc-updown-5m-1777829100,2026-05-02T17:34:07.106365Z,2026-05-03T17:30:00Z,0,1
btc-updown-5m-1777829400,2026-05-02T17:38:19.824153Z,2026-05-03T17:35:00Z,1,0
btc-updown-5m-1777829700,2026-05-02T17:44:05.283515Z,2026-05-03T17:40:00Z,1,0
btc-updown-5m-1777830000,2026-05-02T17:50:12.387118Z,2026-05-03T17:45:00Z,1,0
btc-updown-5m-1777830300,2026-05-02T17:53:18.578454Z,2026-05-03T17:50:00Z,0,1
btc-updown-5m-1777830600,2026-05-02T17:58:39.510442Z,2026-05-03T17:55:00Z,0,1
btc-updown-5m-1777830900,2026-05-02T18:05:14.664442Z,2026-05-03T18:00:00Z,0,1
btc-updown-5m-1777831200,2026-05-02T18:09:23.286786Z,2026-05-03T18:05:00Z,0,1
btc-updown-5m-1777831500,2026-05-02T18:14:07.959972Z,2026-05-03T18:10:00Z,1,0
btc-updown-5m-1777831800,2026-05-02T18:19:07.707198Z,2026-05-03T18:15:00Z,0,1
btc-updown-5m-1777832100,2026-05-02T18:23:44.170364Z,2026-05-03T18:20:00Z,1,0
btc-updown-5m-1777832400,2026-05-02T18:30:10.09764Z,2026-05-03T18:25:00Z,1,0
btc-updown-5m-1777832700,2026-05-02T18:34:09.155269Z,2026-05-03T18:30:00Z,1,0
btc-updown-5m-1777833000,2026-05-02T18:39:09.613757Z,2026-05-03T18:35:00Z,0,1
btc-updown-5m-1777833300,2026-05-02T18:46:55.50345Z,2026-05-03T18:40:00Z,0,1
btc-updown-5m-1777833600,2026-05-02T18:57:38.934002Z,2026-05-03T18:45:00Z,0,1
btc-updown-5m-1777833900,2026-05-02T18:54:13.23528Z,2026-05-03T18:50:00Z,1,0
btc-updown-5m-1777834200,2026-05-02T18:58:30.841792Z,2026-05-03T18:55:00Z,1,0
btc-updown-5m-1777834500,2026-05-02T19:04:19.195834Z,2026-05-03T19:00:00Z,0,1
btc-updown-5m-1777834800,2026-05-02T19:09:16.099783Z,2026-05-03T19:05:00Z,0,1
btc-updown-5m-1777835100,2026-05-02T19:14:07.415514Z,2026-05-03T19:10:00Z,0,1
btc-updown-5m-1777835400,2026-05-02T19:19:12.164773Z,2026-05-03T19:15:00Z,0,1
btc-updown-5m-1777835700,2026-05-02T19:24:06.178051Z,2026-05-03T19:20:00Z,0,1
btc-updown-5m-1777836000,2026-05-02T19:29:17.412454Z,2026-05-03T19:25:00Z,0,1
btc-updown-5m-1777836300,2026-05-02T19:34:27.316293Z,2026-05-03T19:30:00Z,0,1
btc-updown-5m-1777836600,2026-05-02T19:39:18.13495Z,2026-05-03T19:35:00Z,1,0
btc-updown-5m-1777836900,2026-05-02T19:44:11.91739Z,2026-05-03T19:40:00Z,0,1
btc-updown-5m-1777837200,2026-05-02T19:50:16.284682Z,2026-05-03T19:45:00Z,1,0
btc-updown-5m-1777837500,2026-05-02T19:54:35.965474Z,2026-05-03T19:50:00Z,0,1
btc-updown-5m-1777837800,2026-05-02T19:58:38.926475Z,2026-05-03T19:55:00Z,0,1
btc-updown-5m-1777838100,2026-05-02T20:05:09.326645Z,2026-05-03T20:00:00Z,0,1
btc-updown-5m-1777838400,2026-05-02T20:08:43.212077Z,2026-05-03T20:05:00Z,0,1
btc-updown-5m-1777838700,2026-05-02T20:14:13.517845Z,2026-05-03T20:10:00Z,1,0
btc-updown-5m-1777839000,2026-05-02T20:19:09.507836Z,2026-05-03T20:15:00Z,0,1
btc-updown-5m-1777839300,2026-05-02T20:24:25.840581Z,2026-05-03T20:20:00Z,1,0
btc-updown-5m-1777839600,2026-05-02T20:29:08.861474Z,2026-05-03T20:25:00Z,1,0
btc-updown-5m-1777839900,2026-05-02T20:33:41.812483Z,2026-05-03T20:30:00Z,0,1
btc-updown-5m-1777840200,2026-05-02T20:38:33.90492Z,2026-05-03T20:35:00Z,1,0
btc-updown-5m-1777840500,2026-05-02T20:45:12.514321Z,2026-05-03T20:40:00Z,1,0
btc-updown-5m-1777840800,2026-05-02T20:49:57.990805Z,2026-05-03T20:45:00Z,0,1
btc-updown-5m-1777841100,2026-05-02T20:55:08.685446Z,2026-05-03T20:50:00Z,0,1
btc-updown-5m-1777841400,2026-05-02T20:59:09.543709Z,2026-05-03T20:55:00Z,1,0
btc-updown-5m-1777841700,2026-05-02T21:04:11.91835Z,2026-05-03T21:00:00Z,1,0
btc-updown-5m-1777842000,2026-05-02T21:09:07.290434Z,2026-05-03T21:05:00Z,0,1
btc-updown-5m-1777842300,2026-05-02T21:15:20.492673Z,2026-05-03T21:10:00Z,1,0
btc-updown-5m-1777842600,2026-05-02T21:19:13.550071Z,2026-05-03T21:15:00Z,1,0
btc-updown-5m-1777842900,2026-05-02T21:24:24.135309Z,2026-05-03T21:20:00Z,0,1
btc-updown-5m-1777843200,2026-05-02T21:29:10.477813Z,2026-05-03T21:25:00Z,0,1
btc-updown-5m-1777843500,2026-05-02T21:33:15.819812Z,2026-05-03T21:30:00Z,0,1
btc-updown-5m-1777843800,2026-05-02T21:38:11.089489Z,2026-05-03T21:35:00Z,0,1
btc-updown-5m-1777844100,2026-05-02T21:44:29.229127Z,2026-05-03T21:40:00Z,0,1
btc-updown-5m-1777844400,2026-05-02T21:50:13.6849Z,2026-05-03T21:45:00Z,0,1
btc-updown-5m-1777844700,2026-05-02T21:53:15.733065Z,2026-05-03T21:50:00Z,0,1
btc-updown-5m-1777845000,2026-05-02T21:59:05.321616Z,2026-05-03T21:55:00Z,1,0
btc-updown-5m-1777845300,2026-05-02T22:04:07.154768Z,2026-05-03T22:00:00Z,1,0
btc-updown-5m-1777845600,2026-05-02T22:08:43.791046Z,2026-05-03T22:05:00Z,1,0
btc-updown-5m-1777845900,2026-05-02T22:13:39.570501Z,2026-05-03T22:10:00Z,0,1
btc-updown-5m-1777846200,2026-05-02T22:19:09.674107Z,2026-05-03T22:15:00Z,1,0
btc-updown-5m-1777846500,2026-05-02T22:23:35.555846Z,2026-05-03T22:20:00Z,0,1
btc-updown-5m-1777846800,2026-05-02T22:28:40.080302Z,2026-05-03T22:25:00Z,0,1
btc-updown-5m-1777847100,2026-05-02T22:35:12.836414Z,2026-05-03T22:30:00Z,1,0
btc-updown-5m-1777847400,2026-05-02T22:38:47.444387Z,2026-05-03T22:35:00Z,1,0
